AreaKey,AreaName,Zone,Pincode,Latitude,Longitude,DemandTier,IncomeBand,AreaSortOrder
1,Koramangala,South,560034,12.9352,77.6245,A,Premium,17
2,HSR Layout,South,560102,12.9116,77.6389,A,Premium,14
3,Indiranagar,East,560038,12.9784,77.6408,A,Premium,3
4,Whitefield,East,560066,12.9698,77.7500,A,Premium,6
5,Marathahalli,East,560037,12.9591,77.6974,A,Mid,5
6,Bellandur,East,560103,12.9260,77.6762,A,Upper-Mid,2
7,Sarjapur Road,South,560035,12.9010,77.6874,A,Upper-Mid,18
8,Electronic City,South,560100,12.8452,77.6602,B,Value,13
9,BTM Layout,South,560076,12.9166,77.6101,B,Mid,10
10,JP Nagar,South,560078,12.9063,77.5857,B,Mid,15
11,Jayanagar,South,560041,12.9250,77.5938,B,Upper-Mid,16
12,Banashankari,South,560070,12.9255,77.5468,B,Mid,11
13,Bannerghatta Road,South,560083,12.8878,77.5970,B,Mid,12
14,Hebbal,North,560024,13.0358,77.5970,B,Upper-Mid,7
15,Rajajinagar,West,560010,12.9915,77.5551,B,Upper-Mid,19
16,Malleshwaram,Central,560003,13.0035,77.5709,B,Premium,1
17,Yelahanka,North,560064,13.1007,77.5963,C,Mid,9
18,RT Nagar,North,560032,13.0207,77.5945,C,Value,8
19,Vijayanagar,West,560040,12.9719,77.5347,C,Value,20
20,KR Puram,East,560036,13.0076,77.6960,C,Value,4
