DateKey,Date,Year,Quarter,MonthNo,MonthName,MonthYear,MonthYearSort,WeekNo,DayName,DayOfWeekNo,IsWeekend,IsMonsoon,IsFestivalWindow,FestivalName,IsMonthEnd,FiscalYear,FiscalQuarter,IsHoliday,DaysFromToday
20250101,2025-01-01,2025,Q1,1,January,Jan 2025,202501,1,Wednesday,3,0,0,0,New Year Day,0,FY24-25,Q4,1,-607
20250102,2025-01-02,2025,Q1,1,January,Jan 2025,202501,1,Thursday,4,0,0,0,,0,FY24-25,Q4,0,-606
20250103,2025-01-03,2025,Q1,1,January,Jan 2025,202501,1,Friday,5,0,0,0,,0,FY24-25,Q4,0,-605
20250104,2025-01-04,2025,Q1,1,January,Jan 2025,202501,1,Saturday,6,1,0,0,,0,FY24-25,Q4,0,-604
20250105,2025-01-05,2025,Q1,1,January,Jan 2025,202501,1,Sunday,7,1,0,0,,0,FY24-25,Q4,0,-603
20250106,2025-01-06,2025,Q1,1,January,Jan 2025,202501,2,Monday,1,0,0,0,,0,FY24-25,Q4,0,-602
20250107,2025-01-07,2025,Q1,1,January,Jan 2025,202501,2,Tuesday,2,0,0,0,,0,FY24-25,Q4,0,-601
20250108,2025-01-08,2025,Q1,1,January,Jan 2025,202501,2,Wednesday,3,0,0,0,,0,FY24-25,Q4,0,-600
20250109,2025-01-09,2025,Q1,1,January,Jan 2025,202501,2,Thursday,4,0,0,0,,0,FY24-25,Q4,0,-599
20250110,2025-01-10,2025,Q1,1,January,Jan 2025,202501,2,Friday,5,0,0,1,Sankranti,0,FY24-25,Q4,0,-598
20250111,2025-01-11,2025,Q1,1,January,Jan 2025,202501,2,Saturday,6,1,0,1,Sankranti,0,FY24-25,Q4,0,-597
20250112,2025-01-12,2025,Q1,1,January,Jan 2025,202501,2,Sunday,7,1,0,1,Sankranti,0,FY24-25,Q4,0,-596
20250113,2025-01-13,2025,Q1,1,January,Jan 2025,202501,3,Monday,1,0,0,1,Sankranti,0,FY24-25,Q4,0,-595
20250114,2025-01-14,2025,Q1,1,January,Jan 2025,202501,3,Tuesday,2,0,0,1,Makar Sankranti,0,FY24-25,Q4,1,-594
20250115,2025-01-15,2025,Q1,1,January,Jan 2025,202501,3,Wednesday,3,0,0,1,Sankranti,0,FY24-25,Q4,0,-593
20250116,2025-01-16,2025,Q1,1,January,Jan 2025,202501,3,Thursday,4,0,0,1,Sankranti,0,FY24-25,Q4,0,-592
20250117,2025-01-17,2025,Q1,1,January,Jan 2025,202501,3,Friday,5,0,0,1,Sankranti,0,FY24-25,Q4,0,-591
20250118,2025-01-18,2025,Q1,1,January,Jan 2025,202501,3,Saturday,6,1,0,0,,0,FY24-25,Q4,0,-590
20250119,2025-01-19,2025,Q1,1,January,Jan 2025,202501,3,Sunday,7,1,0,0,,0,FY24-25,Q4,0,-589
20250120,2025-01-20,2025,Q1,1,January,Jan 2025,202501,4,Monday,1,0,0,0,,0,FY24-25,Q4,0,-588
20250121,2025-01-21,2025,Q1,1,January,Jan 2025,202501,4,Tuesday,2,0,0,0,,0,FY24-25,Q4,0,-587
20250122,2025-01-22,2025,Q1,1,January,Jan 2025,202501,4,Wednesday,3,0,0,0,,0,FY24-25,Q4,0,-586
20250123,2025-01-23,2025,Q1,1,January,Jan 2025,202501,4,Thursday,4,0,0,0,,0,FY24-25,Q4,0,-585
20250124,2025-01-24,2025,Q1,1,January,Jan 2025,202501,4,Friday,5,0,0,0,,0,FY24-25,Q4,0,-584
20250125,2025-01-25,2025,Q1,1,January,Jan 2025,202501,4,Saturday,6,1,0,0,,0,FY24-25,Q4,0,-583
20250126,2025-01-26,2025,Q1,1,January,Jan 2025,202501,4,Sunday,7,1,0,0,Republic Day,0,FY24-25,Q4,1,-582
20250127,2025-01-27,2025,Q1,1,January,Jan 2025,202501,5,Monday,1,0,0,0,,1,FY24-25,Q4,0,-581
20250128,2025-01-28,2025,Q1,1,January,Jan 2025,202501,5,Tuesday,2,0,0,0,,1,FY24-25,Q4,0,-580
20250129,2025-01-29,2025,Q1,1,January,Jan 2025,202501,5,Wednesday,3,0,0,0,,1,FY24-25,Q4,0,-579
20250130,2025-01-30,2025,Q1,1,January,Jan 2025,202501,5,Thursday,4,0,0,0,,1,FY24-25,Q4,0,-578
20250131,2025-01-31,2025,Q1,1,January,Jan 2025,202501,5,Friday,5,0,0,0,,1,FY24-25,Q4,0,-577
20250201,2025-02-01,2025,Q1,2,February,Feb 2025,202502,5,Saturday,6,1,0,0,,0,FY24-25,Q4,0,-576
20250202,2025-02-02,2025,Q1,2,February,Feb 2025,202502,5,Sunday,7,1,0,0,,0,FY24-25,Q4,0,-575
20250203,2025-02-03,2025,Q1,2,February,Feb 2025,202502,6,Monday,1,0,0,0,,0,FY24-25,Q4,0,-574
20250204,2025-02-04,2025,Q1,2,February,Feb 2025,202502,6,Tuesday,2,0,0,0,,0,FY24-25,Q4,0,-573
20250205,2025-02-05,2025,Q1,2,February,Feb 2025,202502,6,Wednesday,3,0,0,0,,0,FY24-25,Q4,0,-572
20250206,2025-02-06,2025,Q1,2,February,Feb 2025,202502,6,Thursday,4,0,0,0,,0,FY24-25,Q4,0,-571
20250207,2025-02-07,2025,Q1,2,February,Feb 2025,202502,6,Friday,5,0,0,0,,0,FY24-25,Q4,0,-570
20250208,2025-02-08,2025,Q1,2,February,Feb 2025,202502,6,Saturday,6,1,0,0,,0,FY24-25,Q4,0,-569
20250209,2025-02-09,2025,Q1,2,February,Feb 2025,202502,6,Sunday,7,1,0,0,,0,FY24-25,Q4,0,-568
20250210,2025-02-10,2025,Q1,2,February,Feb 2025,202502,7,Monday,1,0,0,0,,0,FY24-25,Q4,0,-567
20250211,2025-02-11,2025,Q1,2,February,Feb 2025,202502,7,Tuesday,2,0,0,0,,0,FY24-25,Q4,0,-566
20250212,2025-02-12,2025,Q1,2,February,Feb 2025,202502,7,Wednesday,3,0,0,0,,0,FY24-25,Q4,0,-565
20250213,2025-02-13,2025,Q1,2,February,Feb 2025,202502,7,Thursday,4,0,0,0,,0,FY24-25,Q4,0,-564
