BookingID,DateKey,BookingTimestamp,CustomerKey,ProKey,ServiceKey,AreaKey,Channel,BookingStatus,QuotedAmountINR,FinalAmountINR,DiscountINR,CommissionPct,PlatformRevenueINR,MaterialCostINR,PaymentMode,TimeToAssignMins,ResponseTimeMins,JobDurationMins,SLAMetFlag,CustomerRating,ReviewSentiment,IsRepeatCustomer,PredictedPriceINR,PredictedETAMins,ActualETAMins,MatchScore,FraudScore,ChurnRiskScore,IsFirstTimeFix,ReopenedWithin7Days
BK0000001,20250101,2025-01-01 07:10:26,1,687,32,1,App,CancelledByCustomer,3990.00,0.00,520.00,21.0,0.00,0.00,Cash,6,30,,,,,0,3592,37,,0.708,0.143,0.608,,
BK0000002,20250101,2025-01-01 07:18:10,2,311,33,17,Web,Completed,1310.00,1310.00,0.00,20.0,262.00,466.44,UPI,8,21,59,1,5,Positive,0,1045,65,65,0.781,0.009,0.156,1,0
BK0000003,20250101,2025-01-01 07:49:44,3,701,11,8,App,Rescheduled,740.00,0.00,0.00,22.0,0.00,0.00,Cash,4,25,,,,,0,777,52,,0.847,0.045,0.253,,
BK0000004,20250101,2025-01-01 08:26:59,4,145,21,16,App,Completed,710.00,610.00,100.00,19.0,115.90,55.70,UPI,15,37,52,1,5,Positive,0,749,76,47,0.744,0.103,0.338,1,0
BK0000005,20250101,2025-01-01 08:29:22,5,171,27,9,Phone,Completed,1660.00,1660.00,0.00,22.0,365.20,228.71,UPI,15,31,290,0,,,0,1584,145,188,0.793,0.137,0.578,1,0
BK0000006,20250101,2025-01-01 08:44:06,6,188,26,5,App,Completed,1020.00,880.00,140.00,22.0,193.60,99.38,NetBanking,11,23,82,1,,,0,959,73,55,0.829,0.055,0.172,0,0
BK0000007,20250101,2025-01-01 09:37:26,7,251,5,2,WhatsApp,Completed,1190.00,1060.00,130.00,18.0,190.80,123.11,UPI,8,10,88,1,,,0,1363,44,53,0.641,0.050,0.464,1,0
BK0000008,20250101,2025-01-01 09:48:47,8,279,24,6,Web,Completed,1520.00,1520.00,0.00,16.0,243.20,463.96,UPI,5,15,100,1,5,Positive,0,1612,64,55,0.860,0.085,0.590,1,0
BK0000009,20250101,2025-01-01 10:53:44,9,701,14,3,App,Completed,1400.00,1290.00,110.00,22.0,283.80,164.11,Cash,3,10,75,1,,,0,1457,78,59,0.901,0.038,0.079,1,0
BK0000010,20250101,2025-01-01 10:57:19,10,184,20,11,Web,Completed,660.00,540.00,120.00,20.0,108.00,137.79,Card,4,26,64,1,,,0,557,86,82,0.546,0.012,0.465,1,0
BK0000011,20250101,2025-01-01 11:29:35,11,251,1,2,App,Completed,820.00,680.00,140.00,18.0,122.40,130.71,Cash,3,45,85,0,,,0,757,97,98,0.643,0.070,0.474,1,0
BK0000012,20250101,2025-01-01 11:32:35,12,447,19,3,Web,Completed,2680.00,2680.00,0.00,20.0,536.00,800.40,Cash,5,10,192,1,5,Positive,0,2184,42,47,0.971,0.026,0.290,1,0
BK0000013,20250101,2025-01-01 12:41:34,13,823,18,1,Phone,Completed,690.00,690.00,0.00,20.0,138.00,111.74,Cash,17,16,52,1,4,Positive,0,681,72,61,0.904,0.106,0.016,1,0
BK0000014,20250101,2025-01-01 12:41:56,14,32,27,9,Web,Completed,1930.00,1930.00,0.00,22.0,424.60,254.39,NetBanking,10,32,185,1,5,Positive,0,2063,81,70,0.644,0.005,0.393,1,0
BK0000015,20250101,2025-01-01 13:34:18,15,55,6,11,WhatsApp,Completed,28860.00,25080.00,3780.00,15.0,3762.00,13840.48,UPI,12,21,1908,1,,,0,25810,50,41,0.856,0.019,0.537,0,0
BK0000016,20250101,2025-01-01 15:08:36,16,50,21,8,Web,Completed,500.00,500.00,0.00,19.0,95.00,43.35,Wallet,11,30,71,1,4,Positive,0,499,71,79,0.811,0.004,0.451,1,0
BK0000017,20250101,2025-01-01 16:19:10,17,50,24,9,Web,Completed,1820.00,1520.00,300.00,19.0,288.80,644.20,UPI,12,17,110,0,3,Neutral,0,1617,145,141,0.673,0.010,0.139,0,1
BK0000018,20250101,2025-01-01 16:28:24,18,55,10,4,App,CancelledByPro,6290.00,0.00,840.00,15.0,0.00,0.00,UPI,15,17,,,,,0,6186,56,,0.742,0.104,0.428,,
BK0000019,20250101,2025-01-01 16:50:14,19,544,11,11,App,Completed,1250.00,1250.00,0.00,19.0,237.50,300.83,UPI,4,15,70,1,5,Positive,0,1135,53,57,0.746,0.050,0.181,1,0
BK0000020,20250101,2025-01-01 17:21:00,20,622,26,9,WhatsApp,Completed,1040.00,920.00,120.00,22.0,202.40,124.52,UPI,14,10,137,1,5,Positive,0,1023,47,57,0.746,0.009,0.277,1,0
BK0000021,20250101,2025-01-01 17:31:09,21,246,13,16,App,Completed,5170.00,5540.00,830.00,22.0,1218.80,2350.77,UPI,4,29,226,1,4,Positive,0,6075,83,73,0.775,0.094,0.509,1,0
BK0000022,20250101,2025-01-01 18:15:46,22,311,37,11,Web,Completed,1460.00,1460.00,0.00,17.0,248.20,302.07,Wallet,9,13,135,1,4,Positive,0,1423,53,55,0.863,0.105,0.244,1,0
BK0000023,20250101,2025-01-01 18:23:41,23,555,33,6,Phone,Completed,1370.00,1100.00,270.00,20.0,220.00,378.46,UPI,12,42,123,1,5,Positive,0,1173,58,53,0.787,0.066,0.318,1,0
BK0000024,20250101,2025-01-01 18:25:21,24,248,14,16,Web,Completed,1100.00,1000.00,100.00,22.0,220.00,106.76,UPI,7,19,72,1,4,Positive,0,949,46,55,0.820,0.026,0.366,1,0
BK0000025,20250101,2025-01-01 18:26:27,25,188,25,5,Web,Completed,4460.00,4460.00,0.00,22.0,981.20,674.73,Card,11,26,247,1,5,Positive,0,5218,52,70,0.735,0.040,0.450,1,0
