DateKey,AreaKey,ServiceCategory,ForecastedJobs,ActualJobs,AbsError,APE
20250301,1,AC Service,1.9,2,0.1,0.0500
20250301,1,Deep Cleaning,2.9,3,0.1,0.0333
20250301,1,Electrician,1.1,1,0.1,0.1000
20250301,1,Painter,2.0,2,0.0,0.0000
20250301,1,Pest Control,0.8,0,0.8,
20250301,2,AC Service,4.7,4,0.7,0.1750
20250301,2,Appliance Repair,0.8,1,0.2,0.2000
20250301,2,Deep Cleaning,1.1,1,0.1,0.1000
20250301,2,Electrician,0.9,1,0.1,0.1000
20250301,2,Painter,1.7,0,1.7,
20250301,3,AC Service,1.8,3,1.2,0.4000
20250301,3,Appliance Repair,2.3,0,2.3,
20250301,3,Carpenter,0.7,1,0.3,0.3000
20250301,3,Electrician,0.8,1,0.2,0.2000
20250301,3,Plumber,0.7,0,0.7,
20250301,4,AC Service,2.3,2,0.3,0.1500
20250301,4,Appliance Repair,1.1,1,0.1,0.1000
20250301,4,Deep Cleaning,2.0,2,0.0,0.0000
20250301,4,Electrician,0.7,0,0.7,
20250301,4,Painter,1.0,1,0.0,0.0000
20250301,4,Pest Control,1.2,1,0.2,0.2000
20250301,4,Plumber,1.1,1,0.1,0.1000
20250301,5,AC Service,2.3,2,0.3,0.1500
20250301,5,Deep Cleaning,0.8,1,0.2,0.2000
20250301,5,Pest Control,2.3,0,2.3,
20250301,5,Plumber,0.9,1,0.1,0.1000
20250301,6,AC Service,0.8,1,0.2,0.2000
20250301,6,Carpenter,1.1,1,0.1,0.1000
20250301,6,Painter,1.0,1,0.0,0.0000
20250301,6,Pest Control,1.0,0,1.0,
20250301,6,Plumber,0.8,0,0.8,
20250301,7,AC Service,1.3,1,0.3,0.3000
20250301,7,Carpenter,1.4,1,0.4,0.4000
20250301,7,Electrician,0.9,1,0.1,0.1000
20250301,7,Painter,1.0,1,0.0,0.0000
20250301,7,Pest Control,0.9,1,0.1,0.1000
20250301,7,Plumber,0.9,0,0.9,
20250301,8,AC Service,0.8,1,0.2,0.2000
20250301,8,Appliance Repair,1.0,1,0.0,0.0000
20250301,8,Deep Cleaning,0.9,1,0.1,0.1000
20250301,8,Electrician,0.7,0,0.7,
20250301,8,Painter,2.3,0,2.3,
20250301,9,AC Service,0.8,1,0.2,0.2000
20250301,9,Appliance Repair,0.9,1,0.1,0.1000
20250301,9,Carpenter,0.8,1,0.2,0.2000
20250301,9,Deep Cleaning,1.0,1,0.0,0.0000
20250301,9,Electrician,1.1,1,0.1,0.1000
20250301,9,Painter,1.3,1,0.3,0.3000
20250301,10,Appliance Repair,0.9,1,0.1,0.1000
20250301,10,Electrician,0.9,1,0.1,0.1000
20250301,10,Painter,1.0,1,0.0,0.0000
20250301,11,Deep Cleaning,2.1,2,0.1,0.0500
20250301,12,AC Service,1.6,2,0.4,0.2000
20250301,12,Appliance Repair,1.2,1,0.2,0.2000
20250301,12,Deep Cleaning,0.9,1,0.1,0.1000
20250301,13,AC Service,0.9,1,0.1,0.1000
20250301,13,Deep Cleaning,1.1,1,0.1,0.1000
20250301,13,Electrician,0.8,0,0.8,
20250301,14,Appliance Repair,0.9,1,0.1,0.1000
20250301,14,Deep Cleaning,1.3,0,1.3,
20250301,15,AC Service,2.0,0,2.0,
20250301,15,Appliance Repair,2.1,2,0.1,0.0500
20250301,15,Electrician,0.7,0,0.7,
20250301,16,AC Service,0.9,1,0.1,0.1000
20250301,16,Deep Cleaning,1.9,2,0.1,0.0500
20250301,16,Plumber,2.0,2,0.0,0.0000
20250301,17,AC Service,0.5,0,0.5,
20250301,17,Appliance Repair,1.0,0,1.0,
20250301,17,Carpenter,2.0,0,2.0,
20250301,17,Plumber,0.9,1,0.1,0.1000
20250301,19,AC Service,1.0,1,0.0,0.0000
20250301,19,Appliance Repair,0.6,0,0.6,
20250301,20,AC Service,2.3,2,0.3,0.1500
20250301,20,Painter,0.8,0,0.8,
20250302,1,AC Service,1.1,1,0.1,0.1000
20250302,1,Electrician,1.0,1,0.0,0.0000
20250302,1,Painter,1.2,1,0.2,0.2000
20250302,1,Pest Control,1.1,2,0.9,0.4500
20250302,2,AC Service,0.9,1,0.1,0.1000
20250302,2,Appliance Repair,1.2,1,0.2,0.2000
20250302,3,AC Service,1.5,2,0.5,0.2500
20250302,3,Appliance Repair,0.8,0,0.8,
