DateKey,AreaKey,ServiceKey,Searches,Leads,QuotesSent,Bookings,AvgLeadQualityScore
20250101,1,18,22,4,3,1,0.673
20250101,1,20,18,5,3,1,0.705
20250101,1,32,15,5,3,1,0.651
20250101,2,1,11,3,2,1,0.806
20250101,2,5,18,6,3,1,0.571
20250101,2,9,11,5,3,1,0.679
20250101,2,16,17,5,3,1,0.591
20250101,2,23,4,1,0,0,0.764
20250101,2,24,4,1,0,0,0.673
20250101,2,34,12,4,3,1,0.773
20250101,3,3,16,5,3,1,0.738
20250101,3,11,13,4,3,1,0.704
20250101,3,14,14,4,3,1,0.733
20250101,3,19,11,4,3,1,0.598
20250101,3,36,6,1,0,0,0.608
20250101,4,10,17,4,3,1,0.709
20250101,4,18,22,5,3,1,0.663
20250101,4,20,2,0,0,0,0.720
20250101,4,23,2,0,0,0,0.759
20250101,4,35,9,2,1,0,0.665
20250101,5,1,9,2,1,0,0.721
20250101,5,18,18,6,4,1,0.630
20250101,5,25,12,4,3,1,0.865
20250101,5,26,25,7,3,1,0.594
20250101,5,29,22,6,3,1,0.721
20250101,6,6,2,0,0,0,0.673
20250101,6,24,18,5,3,1,0.711
20250101,6,33,15,5,3,1,0.582
20250101,7,14,5,1,0,0,0.724
20250101,7,31,2,0,0,0,0.647
20250101,8,1,9,3,2,0,0.615
20250101,8,11,22,6,4,1,0.631
20250101,8,21,38,9,5,1,0.640
20250101,8,23,4,1,0,0,0.591
20250101,8,27,7,2,1,0,0.626
20250101,9,24,23,5,3,1,0.541
20250101,9,26,21,7,6,1,0.530
20250101,9,27,25,7,6,2,0.563
20250101,10,23,4,1,0,0,0.569
20250101,10,26,2,0,0,0,0.616
20250101,11,5,9,2,1,0,0.611
20250101,11,6,28,9,4,1,0.655
20250101,11,11,19,4,3,1,0.512
20250101,11,20,29,9,6,1,0.540
20250101,11,21,9,2,1,0,0.619
20250101,11,33,4,1,0,0,0.549
20250101,11,37,22,7,4,1,0.468
