DateKey,ModelKey,MetricName,MetricValue,MetricGoal,IsBreach,PSIDriftScore,PredictionVolume,P95LatencyMs,FeatureNullPct,TrainingDataAgeDays,ModelVersion
20250215,2,NDCG@5,0.8750,0.82,0,0.0201,724,42,0.770,0,3.1.0
20250216,2,NDCG@5,0.8550,0.82,0,0.0510,667,51,0.767,1,3.1.0
20250217,2,NDCG@5,0.8746,0.82,0,0.0520,356,51,0.265,2,3.1.0
20250218,2,NDCG@5,0.8626,0.82,0,0.0748,368,35,0.567,3,3.1.0
20250219,2,NDCG@5,0.8581,0.82,0,0.0441,345,54,0.373,4,3.1.0
20250220,2,NDCG@5,0.8635,0.82,0,0.0399,472,54,0.264,5,3.1.0
20250221,2,NDCG@5,0.8625,0.82,0,0.0414,494,48,0.440,6,3.1.0
20250222,2,NDCG@5,0.8595,0.82,0,0.0539,690,43,0.641,0,3.1.0
20250223,2,NDCG@5,0.8659,0.82,0,0.0557,632,51,0.496,1,3.1.0
20250224,2,NDCG@5,0.8620,0.82,0,0.1038,334,55,0.528,2,3.1.0
20250225,2,NDCG@5,0.8558,0.82,0,0.0825,426,59,0.256,3,3.1.0
20250226,2,NDCG@5,0.8606,0.82,0,0.0833,230,46,0.332,4,3.1.0
20250227,2,NDCG@5,0.8655,0.82,0,0.0292,506,48,0.434,5,3.1.0
20250228,2,NDCG@5,0.8453,0.82,0,0.0215,322,43,0.594,6,3.1.0
20250301,1,MAPE,11.8390,12.00,0,0.0388,101,184,0.428,0,2.3.0
20250301,2,NDCG@5,0.8470,0.82,0,0.0251,828,59,0.567,0,3.1.0
20250302,1,MAPE,11.7096,12.00,0,0.0358,84,214,0.298,1,2.3.0
20250302,2,NDCG@5,0.8414,0.82,0,0.1068,690,48,0.309,1,3.1.0
20250303,1,MAPE,11.6422,12.00,0,0.0684,63,221,0.446,2,2.3.0
20250303,2,NDCG@5,0.8647,0.82,0,0.0420,518,57,0.447,2,3.1.0
20250304,1,MAPE,11.5390,12.00,0,0.0536,55,162,0.642,3,2.3.0
20250304,2,NDCG@5,0.8670,0.82,0,0.0642,448,48,0.664,3,3.1.0
20250305,1,MAPE,12.0599,12.00,1,0.0428,64,188,0.775,4,2.3.0
20250305,2,NDCG@5,0.8449,0.82,0,0.0221,529,38,0.312,4,3.1.0
20250306,1,MAPE,10.8635,12.00,0,0.0730,60,213,0.723,5,2.3.0
20250306,2,NDCG@5,0.8652,0.82,0,0.0678,494,54,0.637,5,3.1.0
20250307,1,MAPE,11.1519,12.00,0,0.0465,59,179,0.407,6,2.3.0
20250307,2,NDCG@5,0.8587,0.82,0,0.0406,483,45,0.642,6,3.1.0
20250308,1,MAPE,12.1397,12.00,1,0.0384,109,229,0.329,0,2.3.0
20250308,2,NDCG@5,0.8378,0.82,0,0.0483,897,49,0.556,0,3.1.0
20250309,1,MAPE,11.7362,12.00,0,0.0536,90,235,0.346,1,2.3.0
20250309,2,NDCG@5,0.8524,0.82,0,0.0458,736,56,0.359,1,3.1.0
20250310,1,MAPE,11.6510,12.00,0,0.0691,66,213,0.509,2,2.3.0
20250310,2,NDCG@5,0.8545,0.82,0,0.0990,540,52,0.721,2,3.1.0
20250311,1,MAPE,12.8702,12.00,1,0.0540,74,230,0.691,3,2.3.0
20250311,2,NDCG@5,0.8522,0.82,0,0.0585,610,50,0.724,3,3.1.0
20250312,1,MAPE,11.3552,12.00,0,0.0681,83,252,0.794,4,2.3.0
20250312,2,NDCG@5,0.8586,0.82,0,0.0354,678,50,0.445,4,3.1.0
20250313,1,MAPE,12.0257,12.00,1,0.0485,60,215,0.758,5,2.3.0
20250313,2,NDCG@5,0.8538,0.82,0,0.0657,494,49,0.304,5,3.1.0
20250314,1,MAPE,12.9977,12.00,1,0.0728,64,220,0.573,6,2.3.0
20250314,2,NDCG@5,0.8459,0.82,0,0.1069,529,51,0.507,6,3.1.0
20250315,1,MAPE,12.5119,12.00,1,0.0703,108,194,0.565,0,2.3.0
20250315,2,NDCG@5,0.8559,0.82,0,0.0848,886,51,0.334,0,3.1.0
20250316,1,MAPE,11.9212,12.00,0,0.0597,104,153,0.586,1,2.3.0
20250316,2,NDCG@5,0.8479,0.82,0,0.0696,851,48,0.397,1,3.1.0
20250317,1,MAPE,11.5750,12.00,0,0.0405,83,221,0.248,2,2.3.0
20250317,2,NDCG@5,0.8717,0.82,0,0.0785,678,44,0.593,2,3.1.0
20250318,1,MAPE,11.6769,12.00,0,0.0416,69,212,0.255,3,2.3.0
20250318,2,NDCG@5,0.8428,0.82,0,0.0735,564,39,0.306,3,3.1.0
20250319,1,MAPE,11.8452,12.00,0,0.0564,83,198,0.793,4,2.3.0
20250319,2,NDCG@5,0.8482,0.82,0,0.0927,678,45,0.681,4,3.1.0
